Time (t),Original_Delayed,Original_Current,Derived_Delayed,Derived_Current,Residual_Error
4631.0,0.8669035258035956,1.2029996578330915,1.1866737702800143,0.7013054608301375,0.501694197002954
4632.0,0.8478684944438223,1.2228520235141442,1.2048871647687398,0.6671639580449418,0.5556880654692025
4633.0,0.8306477347035742,1.2426158503668876,1.222023189010155,0.6327868857766134,0.6098289645902742
4634.0,0.8178293371459885,1.2614170996682315,1.2364693313398187,0.5988602955360729,0.6625568041321586
4635.0,0.8125555032702184,1.2787454192425565,1.2458554997424474,0.5661911775546608,0.7125542416878957
4636.0,0.8180319950198041,1.2944257332175961,1.2465384739675873,0.5358114073707327,0.7586143258468634
4637.0,0.8365013022908449,1.3081593519543773,1.2343391319401817,0.509182405713348,0.7989769462410292
4638.0,0.8681224428046478,1.3185761862431138,1.2072163592397807,0.48840632901040437,0.8301698572327094
4639.0,0.9102931114004996,1.322267709614604,1.1673494898352765,0.4763089088640471,0.845958800750557
4640.0,0.9577266837497422,1.314282482208661,1.119793697066342,0.4762122382955555,0.8380702439131055
4641.0,1.0038535872716337,1.2912102304973785,1.06967132733247,0.491150903154203,0.8000593273431755
4642.0,1.04337266122013,1.254040105095669,1.0206918926154873,0.5225309710895231,0.731509134006146
4643.0,1.0740539549392525,1.2071255221343489,0.9750008450009043,0.5690084754245648,0.6381170467097841
4644.0,1.0965545695600067,1.1552223312296745,0.933467065767291,0.6266780493636412,0.5285442818660333
4645.0,1.1131194272726426,1.1018114164681752,0.8959942694565362,0.6905330168041077,0.41127839966406743
4646.0,1.126393305468692,1.048876177464341,0.8618029221892779,0.7559831861563148,0.29289299130802615
4647.0,1.1387338680609609,0.9972400588368486,0.82971800299877,0.8195567224793212,0.17768333635752742
4648.0,1.1518973576035214,0.9469875129060124,0.7984748879330412,0.878865688561137,0.06812182434487535
4649.0,1.166914847544841,0.8978431935786548,0.7670103488123972,0.9322899977200236,-0.0344468041413688
4650.0,1.1840737812398794,0.8494811939121192,0.7346743978565433,0.9787042848698203,-0.12922309095770113
4651.0,1.2029996578330915,0.8017357046660111,0.7013054608301375,1.0173530669053392,-0.21561736223932815
4652.0,1.2228520235141442,0.7546859409715123,0.6671639580449418,1.0478359367770829,-0.29314999580557055
4653.0,1.2426158503668876,0.7086210756376674,0.6327868857766134,1.0701170002538165,-0.3614959246161491
4654.0,1.2614170996682315,0.6639330566355512,0.5988602955360729,1.084502688877307,-0.4205696322417558
4655.0,1.2787454192425565,0.6210011396362808,0.5661911775546608,1.0915890714931291,-0.47058793185684833
4656.0,1.2944257332175961,0.5801173327879648,0.5358114073707327,1.0922146538811628,-0.5120973210931979
4657.0,1.3081593519543773,0.5414804760492974,0.509182405713348,1.0874542380378338,-0.5459737619885364
4658.0,1.3185761862431138,0.5052715489831864,0.48840632901040437,1.0786665859989395,-0.5733950370157531
4659.0,1.322267709614604,0.4718020402616926,0.4763089088640471,1.067578772325751,-0.5957767320640585
4660.0,1.314282482208661,0.4416907285520538,0.4762122382955555,1.0563594479833092,-0.6146687194312553
4661.0,1.2912102304973785,0.4160010793110566,0.491150903154203,1.0475945432985583,-0.6315934639875016
4662.0,1.254040105095669,0.3963171562845439,0.5225309710895231,1.0440511859260704,-0.6477340296415265
4663.0,1.2071255221343489,0.3847922085139171,0.5690084754245648,1.0481824023777588,-0.6633901938638418
4664.0,1.1552223312296745,0.38411950387546856,0.6266780493636412,1.0614876446011643,-0.6773681407256957
4665.0,1.1018114164681752,0.3972183455067555,0.6905330168041077,1.0838837376528203,-0.6866653921460648
4666.0,1.048876177464341,0.42643559928902547,0.7559831861563148,1.113093885036936,-0.6866582857479107
4667.0,0.9972400588368486,0.47238023324565703,0.8195567224793212,1.1441921625638145,-0.6718119293181575
4668.0,0.9469875129060124,0.5329976027126551,0.878865688561137,1.170113241345201,-0.6371156386325458
4669.0,0.8978431935786548,0.6036121433869259,0.9322899977200236,1.1839766964992735,-0.5803645531123476
4670.0,0.8494811939121192,0.6780703505268633,0.9787042848698203,1.182105824771631,-0.5040354742447677
4671.0,0.8017357046660111,0.750336984146095,1.0173530669053392,1.1651172532750917,-0.4147802691289968
4672.0,0.7546859409715123,0.81571999917231,1.0478359367770829,1.1365303205889705,-0.32081032141666055
4673.0,0.7086210756376674,0.8713373152408718,1.0701170002538165,1.100738590502573,-0.2294012752617013
4674.0,0.6639330566355512,0.9159497283650506,1.084502688877307,1.0617495053090615,-0.14579977694401092
4675.0,0.6210011396362808,0.9495010036810146,1.0915890714931291,1.022770717512668,-0.07326971383165326
4676.0,0.5801173327879648,0.9726451841611796,1.0922146538811628,0.9862324135271157,-0.013587229365936038
4677.0,0.5414804760492974,0.9863905554641913,1.0874542380378338,0.9539231447359078,0.03246741072828352
4678.0,0.5052715489831864,0.9918818672883557,1.0786665859989395,0.9270793486992451,0.06480251858911057
4679.0,0.4718020402616926,0.9902997270385931,1.067578772325751,0.9063662578835305,0.08393346915506261
4680.0,0.4416907285520538,0.9828479949199586,1.0563594479833092,0.8917484292139705,0.0910995657059881
4681.0,0.4160010793110566,0.9707987751647732,1.0475945432985583,0.8823117013191484,0.08848707384562482
4682.0,0.3963171562845439,0.9555661259200369,1.0440511859260704,0.8761609277096354,0.07940519821040148
4683.0,0.3847922085139171,0.9387906371276822,1.0481824023777588,0.8705261350556648,0.0682645020720174
4684.0,0.38411950387546856,0.9224229385544724,1.0614876446011643,0.8621487453500214,0.06027419320445104
4685.0,0.3972183455067555,0.9087713779696315,1.0838837376528203,0.8479759807980809,0.06079539717155058
4686.0,0.42643559928902547,0.9004395582700847,1.113093885036936,0.8261307637885666,0.07430879448151806
