t,E0,E1,E2
52.6,27.35823823640404,0.7510316676449279,-0.03861739354051606
52.7,27.371414078167923,0.7349849179312615,-0.034512893277065956
52.800000000000004,27.384524205146857,0.7199505917620058,-0.031394724590932024
52.9,27.3975689450947,0.7054655828290513,-0.028759396187025027
53.0,27.410548624130627,0.6913704459732682,-0.02642629915457723
53.1,27.423463566747287,0.6776012138318404,-0.02431784215858392
53.2,27.436314095818922,0.6641274063226003,-0.02239352204433256
53.300000000000004,27.44910053260942,0.6509314528913882,-0.020627840382546423
53.4,27.46182319678038,0.6380009789030633,-0.019001942628859486
53.5,27.474482406399055,0.6253252922184727,-0.017499806735037378
53.6,27.487078477946362,0.6128928543861114,-0.016105602413552148
53.7,27.499611726324733,0.6006874274415757,-0.014799905764254141
53.800000000000004,27.512082464866044,0.5886778298290922,-0.01354988552946053
53.9,27.52449100533939,0.5767809390163414,-0.012273889257839808
54.0,27.536837657958934,0.5646898925400641,-0.010676123535994383
54.1,27.549122731391638,0.5509923270682033,-0.007396492092815986
54.2,27.56134653276498,0.5312644728511555,0.0017754723609378286
54.300000000000004,27.573509367674628,0.5023458667948311,0.01954254844094368
54.4,27.585611540192094,0.46622533606582617,0.04347863090094185
54.5,27.597653352872303,0.42462499962055655,0.07158416368986319
54.6,27.609635106761218,0.37791342377020437,0.10329047914796305
54.7,27.6215571014033,0.32588805055119163,0.13861707753357908
54.800000000000004,27.633419634849048,0.26817328411582514,0.177752716753433
54.9,27.64522300366241,0.20437761331657453,0.22089382735441485
55.0,27.656967502928214,0.13417055985799675,0.268169729824255
55.1,27.668653426259564,0.05733281155901369,0.31959803030076905
55.2,27.68028106580514,-0.026206565880243848,0.37505500147414733
55.300000000000004,27.691850712256546,-0.11634439716479797,0.4342586759222717
55.4,27.70336265485554,-0.21279116387035638,0.4967658601256549
55.5,27.714817181401283,-0.31507428406554827,0.5619842096977676
55.6,27.726214578257544,-0.4225574736700767,0.629199049714362
55.7,27.737555130359834,-0.5344753496223127,0.6976132963890499
55.800000000000004,27.748839121222545,-0.6499836862798581,0.766400185583081
55.9,27.76006683294605,-0.7682389579677056,0.8347814866172548
56.0,27.77123854622371,-0.8885760216533961,0.9021970439963598
56.1,27.782354540348948,-1.010700230270418,0.9684760630590055
56.2,27.793415093222187,-1.1333409834719088,1.0324952399630145
56.300000000000004,27.80442048135783,-1.252347989200555,1.090396623518334
56.4,27.815370979891153,-1.362340212623683,1.1373575573321046
56.5,27.826266862585193,-1.4588317559075434,1.1696977950552863
56.6,27.837108401837586,-1.5387191383612393,1.185275132395137
56.7,27.847895868687374,-1.599866191247037,1.1829886944527288
56.800000000000004,27.858629532821784,-1.6405652517410085,1.1621949650608259
56.9,27.86930966258299,-1.6592043080133432,1.1223589446032207
57.0,27.879936524974784,-1.654156207197932,1.0629409372468892
57.1,27.890510385669284,-1.6237882179625578,0.9834062348562845
57.2,27.901031509013553,-1.5665102263673338,0.8832714918317551
57.300000000000004,27.91150015803623,-1.4808315622815336,0.7621567823208217
57.4,27.921916594454082,-1.3654517781537363,0.619868201446047
57.5,27.932281078678564,-1.220202714738377,0.45731275349127687
57.6,27.942593869822318,-1.0558139744918216,0.2860043370007106
57.7,27.95285522570566,-0.9222027878598552,0.15491364403934055
57.800000000000004,27.963065402863027,-0.8553011004487064,0.09604622754964558
57.9,27.97322465654937,-0.8234515339236017,0.07427123258773322
58.0,27.983333240746564,-0.8025652235311014,0.06413898449444706
58.1,27.99339140816974,-0.7851182381683111,0.05770574449093341
58.2,28.003399410273616,-0.7689759232567812,0.05269318456816807
58.300000000000004,28.01335749725876,-0.753487435567324,0.04838880705478006
58.4,28.02326591807786,-0.7384347337367759,0.0445401226583928
58.5,28.03312492044196,-0.7237353938871374,0.04104080532303676
58.6,28.04293475082663,-0.7093529282001642,0.03783548910878259
58.7,28.05269565447814,-0.695267779160085,0.034888722810669286
58.800000000000004,28.06240787541959,-0.6814670693378871,0.03217386097172068
58.9,28.072071656457013,-0.6679404530930223,0.029668503759896006
59.0,28.08168723918543,-0.6546778282372664,0.02735200116749519
59.1,28.09125486399492,-0.6416668511870747,0.025202905210702443
59.2,28.100774770076594,-0.6288874491128904,0.023193634302467944
59.300000000000004,28.110247195428602,-0.6162938927532303,0.02127328322507866
59.4,28.119672376862063,-0.603738725365059,0.019294528858909296
59.5,28.12905055000702,-0.590594070595128,0.016648679063477608
59.6,28.13838194931828,-0.5746461061659482,0.011216810832902662
59.7,28.147666808081315,-0.5534480160911874,0.0007950246995776377
59.800000000000004,28.156905358418076,-0.5275887194574606,-0.013751184764893327
59.9,28.166097831292802,-0.4981254130557598,-0.0311718744352058
60.0,28.1752444565178,-0.46530154301739185,-0.05108214503057221
60.1,28.184345462759165,-0.42890754040661516,-0.07355998232915623
