tau,Ratio_Rgen_Req,Q_avg,lambda_max
2.8686868686868685,1.9383019383019382,0.0951279928674044,0.07823524397796319
2.904040404040404,1.9621894621894622,0.09356933066897206,0.07444293989190205
2.9393939393939394,1.9860769860769862,0.09025647950117655,0.060258813954898585
2.9747474747474745,2.00996450996451,0.09025647950117655,0.060258813954898585
3.01010101010101,2.0338520338520336,0.09495786456987847,0.0672891452496095
3.0454545454545454,2.057739557739558,0.09032100817536111,0.06665831581104945
3.080808080808081,2.0816270816270817,0.09184576369340895,0.07784105667737236
3.116161616161616,2.1055146055146055,0.09184576369340895,0.07784105667737236
3.1515151515151514,2.1294021294021293,0.09339273714521759,0.061616977056988625
3.186868686868687,2.1532896532896535,0.08841545342012905,0.05959245810999092
3.2222222222222223,2.1771771771771773,0.08841545342012905,0.05959245810999092
3.2575757575757573,2.201064701064701,0.0868602368201907,0.06655120749825874
3.292929292929293,2.224952224952225,0.08968640472088307,0.0568133613044963
3.3282828282828283,2.2488397488397487,0.08806265730682125,0.05346859981731348
3.3636363636363633,2.2727272727272725,0.08806265730682125,0.05346859981731348
3.398989898989899,2.2966147966147963,0.08570163438343663,0.001552521872756547
3.4343434343434343,2.3205023205023205,0.08615856343468924,0.0006846706787993662
3.4696969696969697,2.3443898443898443,0.08615856343468924,0.0006846706787993662
3.5050505050505047,2.368277368277368,0.0874770951434474,0.029277679549647898
3.54040404040404,2.392164892164892,0.0848796337706195,0.0417248368046749
3.5757575757575757,2.416052416052416,0.08474521418337078,0.03552875620935072
3.611111111111111,2.43993993993994,0.08474521418337078,0.03552875620935072
3.646464646464646,2.4638274638274638,0.08527549818822672,0.03749585353136628
3.6818181818181817,2.4877149877149876,0.0867926486858396,0.03162827313025605
3.717171717171717,2.511602511602512,0.0867926486858396,0.03162827313025605
3.7525252525252526,2.5354900354900356,0.08537293361949944,0.038409593683549355
3.7878787878787876,2.5593775593775594,0.08358292249059932,0.023924725151808005
3.823232323232323,2.583265083265083,0.08358292249059932,0.023924725151808005
3.8585858585858586,2.607152607152607,0.08363681482364023,0.006844064927728245
3.8939393939393936,2.631040131040131,0.08374678590719593,0.001507798671623191
3.929292929292929,2.6549276549276546,0.08215758217377517,0.004024778284899349
3.9646464646464645,2.678815178815179,0.08215758217377517,0.004024778284899349
4.0,2.7027027027027026,0.08040701826730441,0.010925142399637393
